#level  ϵ_exact  ϵₕ[au]  ΔxH[au]
18  17.5  17.746110024380368  0.3571428571428571
19  18.5  18.787501318543075  0.3571428571428571
20  19.5  19.83297486773681  0.3571428571428571
1  0.5  0.5000245345316199  0.3125
2  1.5  1.5001703775285065  0.3125
3  2.5  2.500603295897921  0.3125
4  3.5  3.5015066732963724  0.3125
5  4.5  4.503056722260982  0.3125
6  5.5  5.505422818102317  0.3125
7  6.5  6.5087678147981185  0.3125
8  7.5  7.513248343988941  0.3125
9  8.5  8.519015098100239  0.3125
10  9.5  9.526213098547116  0.3125
11  10.5  10.534981949912847  0.3125
12  11.5  11.545456080933619  0.3125
13  12.5  12.557764973065895  0.3125
14  13.5  13.57203337736227  0.3125
15  14.5  14.588381520334577  0.3125
16  15.5  15.606925299437833  0.3125
17  16.5  16.62777646876928  0.3125
