#level  ϵ_exact  ϵₕ[au]  ΔxH[au]
1  4.12049  4.120547830103055  0.09259259259259259
2  3.70914  3.709179761686443  0.09259259259259259
3  4.54553  4.545598179969444  0.09259259259259259
1  4.12049  4.120540680442508  0.08928571428571427
2  3.70914  3.7091744788579897  0.08928571428571427
3  4.54553  4.545588843771728  0.08928571428571427
1  4.12049  4.120534698323323  0.08620689655172414
2  3.70914  3.7091700588980157  0.08620689655172414
3  4.54553  4.54558103184214  0.08620689655172414
1  4.12049  4.120529662310535  0.08333333333333333
2  3.70914  3.70916633811761  0.08333333333333333
3  4.54553  4.545574455159752  0.08333333333333333
1  4.12049  4.120525398440188  0.08064516129032258
2  3.70914  3.7091631879280653  0.08064516129032258
3  4.54553  4.545568886647161  0.08064516129032258
1  4.12049  4.120521768939891  0.078125
2  3.70914  3.7091605064987125  0.078125
3  4.54553  4.545564146456568  0.078125
1  4.12049  4.120518663876214  0.07575757575757576
2  3.70914  3.709158212579894  0.07575757575757576
3  4.54553  4.545560091072527  0.07575757575757576
1  4.12049  4.120515994908517  0.07352941176470588
2  3.70914  3.7091562408841314  0.07352941176470588
3  4.54553  4.545556605162245  0.07352941176470588
1  4.12049  4.120513690576203  0.07142857142857142
2  3.70914  3.7091545386014086  0.07142857142857142
3  4.54553  4.545553595426044  0.07142857142857142
1  4.12049  4.12051169271195  0.06944444444444445
2  3.70914  3.7091530627475464  0.06944444444444445
3  4.54553  4.545550985916619  0.06944444444444445
1  4.12049  4.12050995368931  0.06756756756756757
2  3.70914  3.709151778128973  0.06756756756756757
3  4.54553  4.545548714447115  0.06756756756756757
1  4.12049  4.1205084342963945  0.06578947368421052
2  3.70914  3.709150655771373  0.06578947368421052
3  4.54553  4.545546729815633  0.06578947368421052
1  4.12049  4.120507102078303  0.0641025641025641
2  3.70914  3.7091496716939116  0.0641025641025641
3  4.54553  4.545544989641894  0.0641025641025641
1  4.12049  4.120505930038866  0.0625
2  3.70914  3.7091488059497877  0.0625
3  4.54553  4.54554345867289  0.0625
1  4.12049  4.120504895617199  0.06097560975609756
2  3.70914  3.709148041869935  0.06097560975609756
3  4.54553  4.545542107446189  0.06097560975609756
1  4.12049  4.120503979872993  0.05952380952380952
2  3.70914  3.709147365460588  0.05952380952380952
3  4.54553  4.545540911227058  0.05952380952380952
1  4.12049  4.120503166838463  0.05813953488372093
2  3.70914  3.7091467649246757  0.05813953488372093
3  4.54553  4.545539849162152  0.05813953488372093
1  4.12049  4.1205024429965444  0.05681818181818182
2  3.70914  3.709146230275498  0.05681818181818182
3  4.54553  4.545538903597916  0.05681818181818182
1  4.12049  4.120501796860809  0.05555555555555556
2  3.70914  3.7091457530274337  0.05555555555555556
3  4.54553  4.545538059532928  0.05555555555555556
1  4.12049  4.120501218633412  0.05434782608695652
2  3.70914  3.709145325941966  0.05434782608695652
3  4.54553  4.545537304170672  0.05434782608695652
1  4.12049  4.120500699928078  0.05319148936170213
2  3.70914  3.7091449428237766  0.05319148936170213
